page,page_url,image_label,image_url,notes
Home,https://marisa210803.wixsite.com/marisa-olusemo-music,DSC00039.JPG (hero portrait),https://static.wixstatic.com/media/e44163_ae0176f102fe46dd90966b4da50f9fb4~mv2.jpg/v1/fill/w_538%2Ch_807%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/e44163_ae0176f102fe46dd90966b4da50f9fb4~mv2.jpg,
Home,https://marisa210803.wixsite.com/marisa-olusemo-music,Background/hero image,https://static.wixstatic.com/media/e44163_d7fd94ef123640488e12fdb18245f1c5f000.jpg/v1/fill/w_477%2Ch_324%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/e44163_d7fd94ef123640488e12fdb18245f1c5f000.jpg,
Home; About me,https://marisa210803.wixsite.com/marisa-olusemo-music,Instagram icon,https://static.wixstatic.com/media/40898a93cfff4578b1779073137eb1b4.png/v1/fill/w_39%2Ch_39%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/40898a93cfff4578b1779073137eb1b4.png,Footer/social icon
Home; About me,https://marisa210803.wixsite.com/marisa-olusemo-music,LinkedIn icon,https://static.wixstatic.com/media/fcfebdfae12a44f993a94aeed8e2e66b.png/v1/fill/w_39%2Ch_39%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/fcfebdfae12a44f993a94aeed8e2e66b.png,Footer/social icon
Home; About me,https://marisa210803.wixsite.com/marisa-olusemo-music,YouTube icon,https://static.wixstatic.com/media/a1fed5f687844a6e8f42e017f71dfcb4.png/v1/fill/w_39%2Ch_39%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/a1fed5f687844a6e8f42e017f71dfcb4.png,Footer/social icon
Home; About me,https://marisa210803.wixsite.com/marisa-olusemo-music,TikTok icon,https://static.wixstatic.com/media/11062b_c7468ec61d494ead83af6058b76cadc0~mv2.png/v1/fill/w_39%2Ch_39%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/11062b_c7468ec61d494ead83af6058b76cadc0~mv2.png,Footer/social icon
About me,https://marisa210803.wixsite.com/marisa-olusemo-music/about-me,Snapchat-1673530494-1_edited.png,https://static.wixstatic.com/media/e44163_24e3ad167efd47cab4b7ea0e23c7b308~mv2.png/v1/fill/w_980%2Ch_975%2Cal_c%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/e44163_24e3ad167efd47cab4b7ea0e23c7b308~mv2.png,
About me,https://marisa210803.wixsite.com/marisa-olusemo-music/about-me,Screenshot 2024-03-07 at 16.54_edited.jpg,https://static.wixstatic.com/media/e44163_11bfaa44da5a4f04805f11b9061ecebf~mv2.jpg/v1/crop/x_158%2Cy_0%2Cw_592%2Ch_824/fill/w_302%2Ch_422%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/Screenshot%202024-03-07%20at%2016_54_edited_jp.jpg,
About me,https://marisa210803.wixsite.com/marisa-olusemo-music/about-me,DSC00097_edited.png,https://static.wixstatic.com/media/e44163_011952a7be6a4284adb4236e9bf4e76c~mv2.png/v1/crop/x_0%2Cy_21%2Cw_2000%2Ch_2784/fill/w_302%2Ch_422%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/DSC00097_edited.png,
About me,https://marisa210803.wixsite.com/marisa-olusemo-music/about-me,WhatsApp Image 2024-03-12 at 13.17_edited.jpg,https://static.wixstatic.com/media/e44163_6826fa4a0d364d288b542efe73f6f5f4~mv2.jpg/v1/crop/x_352%2Cy_0%2Cw_734%2Ch_1022/fill/w_302%2Ch_422%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/WhatsApp%20Image%202024-03-12%20at%2013_17_edited.jpg,
Music,https://marisa210803.wixsite.com/marisa-olusemo-music/portfolio,Recording Studio,https://static.wixstatic.com/media/11062b_6e5846f5d56f407bbc878b769eade380~mv2.jpg/v1/fill/w_980%2Ch_653%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/11062b_6e5846f5d56f407bbc878b769eade380~mv2.jpg,
Podcasts,https://marisa210803.wixsite.com/marisa-olusemo-music/general-1,Screenshot 2024-03-12 at 19.33.46.png,https://static.wixstatic.com/media/e44163_d9287d54441e4274a12adc795a2e95a6~mv2.png/v1/fill/w_488%2Ch_330%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/e44163_d9287d54441e4274a12adc795a2e95a6~mv2.png,
Podcasts,https://marisa210803.wixsite.com/marisa-olusemo-music/general-1,Screenshot 2024-03-12 at 19.35.24.png,https://static.wixstatic.com/media/e44163_89e2534f5ae3429387df79615b842fd8~mv2.png/v1/fill/w_489%2Ch_424%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/e44163_89e2534f5ae3429387df79615b842fd8~mv2.png,
